Korrektor;alt;neu;delta;
sh01;0,00;-31,95;-31,95;
sh03;0,00;0,00;0,00;
sh05;0,00;0,00;0,00;
sh07;-7,00;-6,49;0,51;
sh09;0,00;0,63;0,63;
sh11;0,00;-2,63;-2,63;
sh13;0,00;-16,18;-16,18;
sh16;2,00;4,13;2,13;
sh17;-4,00;-3,79;0,21;
sh19;0,00;-10,07;-10,07;
sh21;0,00;-4,92;-4,92;
sh23;-21,50;48,00;69,50;
sh29;0,00;-4,31;-4,31;
sh31;0,00;8,36;8,36;
sh33;0,00;0,49;0,49;
sh35;0,00;0,54;0,54;
sh37;0,00;0,61;0,61;
sh39;0,00;-0,93;-0,93;
sh41;5,00;5,00;0,00;
sh43;-2,00;-2,00;0,00;
sv02;0,00;0,00;0,00;
sv04;0,00;0,00;0,00;
sv06;0,00;0,00;0,00;
sv08;0,00;0,00;0,00;
sv10;0,00;0,00;0,00;
sv12;0,00;0,00;0,00;
sv14;0,00;0,00;0,00;
sv18;0,00;0,00;0,00;
sv20;0,00;0,00;0,00;
sv22;0,00;0,00;0,00;
sv24;0,00;0,00;0,00;
sv26;0,00;0,00;0,00;
sv28;0,00;0,00;0,00;
sv30;0,00;0,00;0,00;
sv32;0,00;0,00;0,00;
sv34;0,00;0,00;0,00;
sv36;0,00;0,00;0,00;
sv38;0,00;0,00;0,00;
blwd1;0,00;0,00;0,00;
blwd3;0,00;0,00;0,00;
blw02;0,00;0,00;0,00;
blw03;0,00;0,00;0,00;
colx;0,00;0,00;0,00;
coly;0,00;0,00;0,00;
gunx;0,00;0,00;0,00;
guny;0,00;0,00;0,00;
